,pred,true_label,fold
339,alpha,alpha,1
340,alpha,alpha,1
341,alpha,alpha,1
342,alpha,alpha,1
343,gamma,not applicable,1
344,ductal,ductal,1
345,alpha,alpha,1
346,not applicable,not applicable,1
347,not applicable,not applicable,1
348,alpha,not applicable,1
349,alpha,alpha,1
350,alpha,not applicable,1
351,not applicable,not applicable,1
352,alpha,alpha,1
353,alpha,not applicable,1
354,co-expression,co-expression,1
355,beta,beta,1
356,not applicable,not applicable,1
357,beta,beta,1
358,alpha,alpha,1
359,alpha,alpha,1
360,alpha,not applicable,1
361,alpha,alpha,1
362,not applicable,alpha,1
363,alpha,not applicable,1
364,alpha,alpha,1
365,not applicable,not applicable,1
366,alpha,alpha,1
367,alpha,alpha,1
368,PSC,not applicable,1
369,ductal,ductal,1
370,PSC,PSC,1
371,alpha,alpha,1
372,not applicable,not applicable,1
373,alpha,not applicable,1
374,alpha,not applicable,1
375,alpha,not applicable,1
376,acinar,acinar,1
377,alpha,alpha,1
378,not applicable,not applicable,1
379,alpha,alpha,1
380,alpha,alpha,1
381,alpha,alpha,1
382,PSC,not applicable,1
383,alpha,alpha,1
384,not applicable,not applicable,1
385,alpha,not applicable,1
386,not applicable,not applicable,1
387,alpha,not applicable,1
388,not applicable,not applicable,1
389,beta,beta,1
390,alpha,not applicable,1
391,alpha,alpha,1
392,not applicable,not applicable,1
393,alpha,not applicable,1
394,delta,delta,1
395,alpha,not applicable,1
396,unclassified endocrine,not applicable,1
397,beta,beta,1
398,not applicable,not applicable,1
399,alpha,alpha,1
400,alpha,alpha,1
401,not applicable,not applicable,1
402,alpha,alpha,1
403,alpha,alpha,1
404,alpha,alpha,1
405,alpha,alpha,1
406,not applicable,not applicable,1
407,alpha,not applicable,1
408,ductal,ductal,1
409,not applicable,not applicable,1
410,alpha,alpha,1
411,alpha,alpha,1
412,not applicable,not applicable,1
413,alpha,not applicable,1
414,alpha,alpha,1
415,unclassified,not applicable,1
416,alpha,alpha,1
417,PSC,PSC,1
418,beta,beta,1
419,ductal,ductal,1
420,ductal,not applicable,1
421,not applicable,not applicable,1
422,alpha,alpha,1
423,not applicable,not applicable,1
424,MHC class II,MHC class II,1
425,alpha,alpha,1
426,alpha,alpha,1
427,not applicable,not applicable,1
428,alpha,alpha,1
429,alpha,alpha,1
430,alpha,alpha,1
431,ductal,ductal,1
432,ductal,ductal,1
433,ductal,ductal,1
434,alpha,alpha,1
435,acinar,acinar,1
436,not applicable,unclassified endocrine,1
437,acinar,acinar,1
438,acinar,acinar,1
439,acinar,acinar,1
440,alpha,alpha,1
441,not applicable,unclassified endocrine,1
442,ductal,not applicable,1
443,beta,co-expression,1
444,alpha,alpha,1
445,alpha,alpha,1
446,not applicable,not applicable,1
447,not applicable,not applicable,1
448,ductal,ductal,1
449,ductal,ductal,1
450,delta,delta,1
451,ductal,ductal,1
452,alpha,alpha,1
453,ductal,ductal,1
454,not applicable,not applicable,1
455,PSC,PSC,1
456,ductal,ductal,1
457,alpha,alpha,1
458,alpha,alpha,1
459,alpha,alpha,1
460,alpha,alpha,1
461,ductal,ductal,1
462,acinar,acinar,1
463,not applicable,not applicable,1
464,alpha,alpha,1
465,ductal,ductal,1
466,alpha,alpha,1
467,beta,beta,1
468,ductal,ductal,1
469,not applicable,not applicable,1
470,acinar,acinar,1
471,acinar,acinar,1
472,ductal,ductal,1
473,acinar,acinar,1
474,alpha,alpha,1
475,not applicable,not applicable,1
476,not applicable,not applicable,1
477,ductal,ductal,1
478,beta,beta,1
479,not applicable,not applicable,1
480,not applicable,not applicable,1
481,not applicable,not applicable,1
482,not applicable,not applicable,1
483,alpha,gamma,1
484,not applicable,not applicable,1
485,not applicable,not applicable,1
486,not applicable,not applicable,1
487,PSC,PSC,1
488,unclassified endocrine,not applicable,1
489,not applicable,not applicable,1
490,ductal,not applicable,1
491,not applicable,not applicable,1
492,not applicable,not applicable,1
493,not applicable,not applicable,1
494,unclassified endocrine,not applicable,1
495,not applicable,not applicable,1
496,not applicable,not applicable,1
497,not applicable,not applicable,1
498,PSC,not applicable,1
499,not applicable,not applicable,1
500,not applicable,not applicable,1
501,not applicable,not applicable,1
502,not applicable,not applicable,1
503,unclassified endocrine,not applicable,1
504,not applicable,not applicable,1
505,not applicable,not applicable,1
506,not applicable,not applicable,1
507,endothelial,endothelial,1
508,not applicable,not applicable,1
509,not applicable,not applicable,1
510,beta,not applicable,1
511,not applicable,not applicable,1
512,not applicable,not applicable,1
513,not applicable,not applicable,1
514,alpha,not applicable,1
515,endothelial,not applicable,1
516,not applicable,not applicable,1
517,endothelial,endothelial,1
518,alpha,not applicable,1
519,not applicable,not applicable,1
520,alpha,alpha,1
521,alpha,alpha,1
522,PSC,not applicable,1
523,alpha,alpha,1
524,delta,delta,1
525,not applicable,not applicable,1
526,epsilon,not applicable,1
527,ductal,ductal,1
528,not applicable,not applicable,1
529,ductal,ductal,1
530,not applicable,not applicable,1
531,not applicable,not applicable,1
532,endothelial,not applicable,1
533,beta,beta,1
534,not applicable,not applicable,1
535,beta,beta,1
536,delta,delta,1
537,not applicable,not applicable,1
538,alpha,not applicable,1
539,alpha,alpha,1
540,not applicable,not applicable,1
541,not applicable,not applicable,1
542,not applicable,not applicable,1
543,ductal,not applicable,1
544,not applicable,not applicable,1
545,not applicable,not applicable,1
546,not applicable,not applicable,1
547,beta,beta,1
548,not applicable,not applicable,1
549,not applicable,not applicable,1
550,not applicable,not applicable,1
551,ductal,not applicable,1
552,alpha,not applicable,1
553,delta,not applicable,1
554,delta,delta,1
555,alpha,alpha,1
556,gamma,co-expression,1
557,not applicable,not applicable,1
558,ductal,ductal,1
559,alpha,alpha,1
560,not applicable,not applicable,1
561,alpha,alpha,1
562,not applicable,not applicable,1
563,beta,co-expression,1
564,ductal,ductal,1
565,not applicable,not applicable,1
566,unclassified endocrine,not applicable,1
567,not applicable,not applicable,1
568,ductal,not applicable,1
569,not applicable,not applicable,1
570,ductal,ductal,1
571,not applicable,not applicable,1
572,alpha,alpha,1
573,not applicable,not applicable,1
574,alpha,alpha,1
575,ductal,ductal,1
576,ductal,ductal,1
577,alpha,alpha,1
578,ductal,ductal,1
579,acinar,acinar,1
580,gamma,gamma,1
581,ductal,ductal,1
582,ductal,ductal,1
583,acinar,acinar,1
584,gamma,gamma,1
585,PSC,PSC,1
586,alpha,alpha,1
587,ductal,ductal,1
588,beta,beta,1
589,beta,beta,1
590,acinar,acinar,1
591,PSC,PSC,1
592,ductal,ductal,1
593,alpha,alpha,1
594,alpha,alpha,1
595,not applicable,not applicable,1
596,ductal,ductal,1
597,ductal,ductal,1
598,ductal,ductal,1
599,alpha,alpha,1
600,ductal,ductal,1
601,not applicable,not applicable,1
602,alpha,alpha,1
603,ductal,ductal,1
604,ductal,ductal,1
605,alpha,alpha,1
606,ductal,ductal,1
607,ductal,ductal,1
608,beta,beta,1
609,alpha,alpha,1
610,ductal,ductal,1
611,not applicable,not applicable,1
612,ductal,ductal,1
613,ductal,ductal,1
614,ductal,ductal,1
615,beta,beta,1
616,ductal,ductal,1
617,not applicable,not applicable,1
618,ductal,not applicable,1
619,alpha,alpha,1
620,ductal,ductal,1
621,alpha,alpha,1
622,not applicable,not applicable,1
623,not applicable,ductal,1
624,not applicable,not applicable,1
625,alpha,alpha,1
626,ductal,ductal,1
627,ductal,ductal,1
628,alpha,alpha,1
629,not applicable,not applicable,1
630,alpha,alpha,1
631,not applicable,not applicable,1
632,alpha,alpha,1
633,ductal,ductal,1
634,endothelial,endothelial,1
635,ductal,ductal,1
636,alpha,alpha,1
637,ductal,ductal,1
638,alpha,alpha,1
639,delta,delta,1
640,delta,delta,1
641,not applicable,not applicable,1
642,beta,beta,1
643,acinar,acinar,1
644,alpha,alpha,1
645,not applicable,not applicable,1
646,not applicable,not applicable,1
647,not applicable,not applicable,1
648,alpha,delta,1
649,ductal,ductal,1
650,ductal,ductal,1
651,acinar,acinar,1
652,alpha,alpha,1
653,acinar,acinar,1
654,alpha,alpha,1
655,beta,beta,1
656,alpha,alpha,1
657,not applicable,not applicable,1
658,not applicable,not applicable,1
659,beta,beta,1
660,delta,delta,1
661,alpha,alpha,1
662,not applicable,not applicable,1
663,alpha,alpha,1
664,gamma,gamma,1
665,beta,beta,1
666,not applicable,not applicable,1
667,not applicable,not applicable,1
668,beta,beta,1
669,not applicable,not applicable,1
670,beta,beta,1
671,beta,beta,1
672,gamma,gamma,1
673,gamma,gamma,1
674,alpha,alpha,1
675,not applicable,not applicable,1
676,alpha,alpha,1
677,gamma,gamma,1
678,beta,beta,1
679,alpha,alpha,1
680,unclassified endocrine,not applicable,1
681,ductal,ductal,1
682,delta,delta,1
683,delta,delta,1
684,alpha,alpha,1
685,not applicable,not applicable,1
686,beta,beta,1
687,co-expression,beta,1
688,not applicable,not applicable,1
689,alpha,alpha,1
690,epsilon,epsilon,1
691,gamma,gamma,1
692,beta,beta,1
693,alpha,alpha,1
694,gamma,gamma,1
695,not applicable,not applicable,1
696,acinar,acinar,1
697,alpha,alpha,1
698,unclassified endocrine,not applicable,1
699,alpha,alpha,1
700,alpha,alpha,1
701,not applicable,not applicable,1
702,alpha,alpha,1
0,gamma,gamma,2
1,not applicable,not applicable,2
2,acinar,acinar,2
3,delta,delta,2
4,acinar,acinar,2
5,alpha,alpha,2
6,beta,beta,2
7,alpha,alpha,2
8,gamma,gamma,2
9,beta,beta,2
10,alpha,alpha,2
11,alpha,alpha,2
12,alpha,alpha,2
13,alpha,alpha,2
14,beta,beta,2
15,not applicable,not applicable,2
16,not applicable,unclassified endocrine,2
17,not applicable,not applicable,2
18,beta,beta,2
19,alpha,gamma,2
20,beta,beta,2
21,acinar,acinar,2
22,alpha,alpha,2
23,not applicable,not applicable,2
24,not applicable,unclassified endocrine,2
25,acinar,acinar,2
26,not applicable,unclassified endocrine,2
27,not applicable,not applicable,2
28,beta,beta,2
29,gamma,gamma,2
30,not applicable,not applicable,2
31,not applicable,not applicable,2
32,not applicable,alpha,2
33,not applicable,not applicable,2
34,not applicable,not applicable,2
35,alpha,not applicable,2
36,delta,delta,2
37,beta,beta,2
38,acinar,not applicable,2
39,alpha,alpha,2
40,alpha,alpha,2
41,beta,beta,2
42,beta,beta,2
43,not applicable,not applicable,2
44,epsilon,epsilon,2
45,delta,alpha,2
46,alpha,alpha,2
47,delta,delta,2
48,alpha,alpha,2
49,not applicable,not applicable,2
50,beta,beta,2
51,delta,delta,2
52,beta,beta,2
53,alpha,alpha,2
54,not applicable,not applicable,2
55,alpha,alpha,2
56,ductal,ductal,2
57,not applicable,not applicable,2
58,not applicable,not applicable,2
59,endothelial,endothelial,2
60,alpha,alpha,2
61,delta,delta,2
62,mast,not applicable,2
63,alpha,alpha,2
64,alpha,alpha,2
65,beta,beta,2
66,alpha,alpha,2
67,alpha,alpha,2
68,alpha,alpha,2
69,alpha,alpha,2
70,acinar,acinar,2
71,not applicable,unclassified endocrine,2
72,alpha,alpha,2
73,not applicable,unclassified endocrine,2
74,alpha,alpha,2
75,alpha,alpha,2
76,beta,beta,2
77,alpha,alpha,2
78,not applicable,not applicable,2
79,alpha,alpha,2
80,alpha,alpha,2
81,mast,mast,2
82,alpha,not applicable,2
83,alpha,alpha,2
84,alpha,alpha,2
85,acinar,acinar,2
86,not applicable,not applicable,2
87,alpha,alpha,2
88,unclassified endocrine,not applicable,2
89,not applicable,alpha,2
90,delta,delta,2
91,beta,beta,2
92,alpha,gamma,2
93,acinar,acinar,2
94,not applicable,not applicable,2
95,alpha,alpha,2
96,alpha,alpha,2
97,unclassified endocrine,not applicable,2
98,gamma,gamma,2
99,not applicable,not applicable,2
100,not applicable,not applicable,2
101,gamma,gamma,2
102,gamma,gamma,2
103,alpha,alpha,2
104,delta,delta,2
105,not applicable,not applicable,2
106,alpha,alpha,2
107,gamma,gamma,2
108,not applicable,not applicable,2
109,not applicable,not applicable,2
110,not applicable,not applicable,2
111,ductal,ductal,2
112,acinar,acinar,2
113,not applicable,not applicable,2
114,gamma,gamma,2
115,alpha,alpha,2
116,alpha,alpha,2
117,not applicable,not applicable,2
118,beta,beta,2
119,not applicable,not applicable,2
120,gamma,gamma,2
121,beta,beta,2
122,gamma,gamma,2
123,gamma,gamma,2
124,gamma,gamma,2
125,gamma,gamma,2
126,alpha,alpha,2
127,not applicable,not applicable,2
128,not applicable,not applicable,2
129,alpha,alpha,2
130,gamma,gamma,2
131,alpha,alpha,2
132,gamma,gamma,2
133,gamma,gamma,2
134,gamma,gamma,2
135,not applicable,not applicable,2
136,not applicable,not applicable,2
137,alpha,alpha,2
138,alpha,alpha,2
139,beta,beta,2
140,delta,not applicable,2
141,alpha,alpha,2
142,alpha,alpha,2
143,alpha,alpha,2
144,not applicable,not applicable,2
145,not applicable,not applicable,2
146,not applicable,not applicable,2
147,alpha,alpha,2
148,not applicable,not applicable,2
149,delta,not applicable,2
150,alpha,alpha,2
151,alpha,alpha,2
152,not applicable,not applicable,2
153,gamma,gamma,2
154,alpha,gamma,2
155,not applicable,not applicable,2
156,not applicable,not applicable,2
157,not applicable,not applicable,2
158,gamma,gamma,2
159,alpha,alpha,2
160,alpha,alpha,2
161,alpha,alpha,2
162,not applicable,not applicable,2
163,not applicable,not applicable,2
164,not applicable,not applicable,2
165,not applicable,not applicable,2
166,alpha,alpha,2
167,not applicable,not applicable,2
168,alpha,alpha,2
169,delta,delta,2
170,acinar,not applicable,2
171,alpha,alpha,2
172,ductal,ductal,2
173,alpha,not applicable,2
174,gamma,gamma,2
175,gamma,gamma,2
176,not applicable,not applicable,2
177,acinar,not applicable,2
178,not applicable,not applicable,2
179,alpha,not applicable,2
180,not applicable,not applicable,2
181,not applicable,not applicable,2
182,not applicable,not applicable,2
183,not applicable,not applicable,2
184,acinar,acinar,2
185,alpha,alpha,2
186,alpha,not applicable,2
187,delta,delta,2
188,not applicable,not applicable,2
189,alpha,alpha,2
190,alpha,alpha,2
191,not applicable,not applicable,2
192,not applicable,not applicable,2
193,not applicable,ductal,2
194,not applicable,not applicable,2
195,not applicable,not applicable,2
196,PSC,PSC,2
197,gamma,gamma,2
198,not applicable,not applicable,2
199,alpha,alpha,2
200,alpha,alpha,2
201,alpha,alpha,2
202,beta,co-expression,2
203,not applicable,not applicable,2
204,beta,beta,2
205,alpha,alpha,2
206,alpha,alpha,2
207,alpha,alpha,2
208,beta,beta,2
209,not applicable,not applicable,2
210,alpha,alpha,2
211,alpha,alpha,2
212,alpha,alpha,2
213,gamma,gamma,2
214,not applicable,not applicable,2
215,beta,beta,2
216,gamma,gamma,2
217,not applicable,alpha,2
218,not applicable,not applicable,2
219,not applicable,not applicable,2
220,ductal,ductal,2
221,not applicable,not applicable,2
222,endothelial,endothelial,2
223,alpha,alpha,2
224,co-expression,co-expression,2
225,not applicable,not applicable,2
226,alpha,alpha,2
227,ductal,not applicable,2
228,beta,co-expression,2
229,not applicable,not applicable,2
230,not applicable,not applicable,2
231,alpha,alpha,2
232,beta,beta,2
233,not applicable,not applicable,2
234,not applicable,not applicable,2
235,not applicable,not applicable,2
236,ductal,ductal,2
237,not applicable,not applicable,2
238,not applicable,not applicable,2
239,alpha,not applicable,2
240,gamma,gamma,2
241,not applicable,not applicable,2
242,not applicable,not applicable,2
243,PSC,PSC,2
244,not applicable,not applicable,2
245,alpha,not applicable,2
246,not applicable,not applicable,2
247,ductal,ductal,2
248,alpha,alpha,2
249,delta,delta,2
250,alpha,alpha,2
251,not applicable,not applicable,2
252,not applicable,not applicable,2
253,alpha,alpha,2
254,not applicable,not applicable,2
255,acinar,not applicable,2
256,not applicable,not applicable,2
257,not applicable,not applicable,2
258,alpha,alpha,2
259,not applicable,unclassified endocrine,2
260,not applicable,not applicable,2
261,not applicable,not applicable,2
262,not applicable,not applicable,2
263,ductal,ductal,2
264,not applicable,not applicable,2
265,ductal,ductal,2
266,co-expression,co-expression,2
267,not applicable,not applicable,2
268,acinar,acinar,2
269,not applicable,not applicable,2
270,acinar,acinar,2
271,beta,beta,2
272,ductal,not applicable,2
273,not applicable,not applicable,2
274,not applicable,not applicable,2
275,alpha,not applicable,2
276,beta,beta,2
277,ductal,ductal,2
278,acinar,acinar,2
279,co-expression,co-expression,2
280,ductal,not applicable,2
281,acinar,acinar,2
282,ductal,ductal,2
283,ductal,ductal,2
284,alpha,alpha,2
285,ductal,not applicable,2
286,ductal,ductal,2
287,not applicable,not applicable,2
288,gamma,gamma,2
289,unclassified endocrine,not applicable,2
290,alpha,alpha,2
291,not applicable,not applicable,2
292,acinar,not applicable,2
293,acinar,acinar,2
294,acinar,acinar,2
295,beta,beta,2
296,ductal,ductal,2
297,acinar,acinar,2
298,acinar,acinar,2
299,ductal,ductal,2
300,acinar,acinar,2
301,ductal,ductal,2
302,not applicable,not applicable,2
303,delta,not applicable,2
304,acinar,acinar,2
305,acinar,acinar,2
306,not applicable,not applicable,2
307,acinar,acinar,2
308,ductal,ductal,2
309,ductal,ductal,2
310,acinar,acinar,2
311,not applicable,not applicable,2
312,acinar,acinar,2
313,not applicable,not applicable,2
314,not applicable,not applicable,2
315,gamma,not applicable,2
316,ductal,ductal,2
317,beta,beta,2
318,acinar,acinar,2
319,ductal,ductal,2
320,alpha,alpha,2
321,not applicable,not applicable,2
322,not applicable,not applicable,2
323,alpha,not applicable,2
324,alpha,alpha,2
325,alpha,alpha,2
326,alpha,alpha,2
327,beta,beta,2
328,alpha,alpha,2
329,co-expression,co-expression,2
330,PSC,not applicable,2
331,beta,not applicable,2
332,not applicable,alpha,2
333,alpha,not applicable,2
334,alpha,alpha,2
335,alpha,alpha,2
336,gamma,not applicable,2
337,alpha,alpha,2
338,alpha,not applicable,2
339,beta,beta,2
340,beta,beta,2
341,alpha,alpha,2
342,beta,beta,2
343,unclassified endocrine,not applicable,2
344,PSC,not applicable,2
345,PSC,not applicable,2
346,alpha,alpha,2
347,alpha,alpha,2
348,delta,delta,2
349,alpha,alpha,2
350,not applicable,not applicable,2
351,alpha,alpha,2
352,PSC,PSC,2
353,alpha,not applicable,2
354,alpha,alpha,2
355,alpha,alpha,2
356,not applicable,not applicable,2
357,not applicable,not applicable,2
358,alpha,alpha,2
359,not applicable,not applicable,2
360,alpha,alpha,2
361,not applicable,not applicable,2
362,beta,beta,2
363,alpha,alpha,2
364,alpha,alpha,2
365,alpha,alpha,2
366,alpha,alpha,2
367,alpha,alpha,2
368,alpha,alpha,2
369,beta,beta,2
370,alpha,alpha,2
371,alpha,not applicable,2
372,not applicable,not applicable,2
373,delta,not applicable,2
374,beta,beta,2
375,alpha,alpha,2
376,alpha,not applicable,2
377,beta,beta,2
378,not applicable,not applicable,2
379,unclassified endocrine,not applicable,2
380,not applicable,not applicable,2
381,alpha,not applicable,2
382,not applicable,not applicable,2
383,not applicable,not applicable,2
384,not applicable,not applicable,2
385,ductal,alpha,2
386,not applicable,not applicable,2
387,not applicable,not applicable,2
388,ductal,ductal,2
389,ductal,ductal,2
390,alpha,not applicable,2
391,beta,beta,2
392,not applicable,not applicable,2
393,alpha,alpha,2
394,not applicable,not applicable,2
395,beta,not applicable,2
396,alpha,not applicable,2
397,not applicable,not applicable,2
398,alpha,not applicable,2
399,endothelial,not applicable,2
400,alpha,alpha,2
