"","pred","true_label","fold"
"Cell_123","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_124","CD8+ Cytotoxic T","CD4+/CD45RO+ Memory",1
"Cell_125","CD4+/CD45RO+ Memory","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_126","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_127","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_128","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_129","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_130","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_131","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_132","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_133","CD8+ Cytotoxic T","CD4+/CD25 T Reg",1
"Cell_134","CD56+ NK","CD56+ NK",1
"Cell_135","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_136","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_137","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_138","CD4+/CD45RO+ Memory","CD4+/CD45RO+ Memory",1
"Cell_139","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_140","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_141","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_142","CD19+ B","CD19+ B",1
"Cell_143","Dendritic","Dendritic",1
"Cell_144","CD19+ B","CD19+ B",1
"Cell_145","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_146","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_147","CD19+ B","CD19+ B",1
"Cell_148","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RO+ Memory",1
"Cell_149","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_150","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_151","CD19+ B","CD19+ B",1
"Cell_152","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_153","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_154","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_155","CD56+ NK","CD56+ NK",1
"Cell_156","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_157","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_158","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_159","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_160","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_161","CD4+/CD25 T Reg","CD8+ Cytotoxic T",1
"Cell_162","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_163","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_164","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_165","CD19+ B","CD19+ B",1
"Cell_166","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_167","CD4+/CD25 T Reg","CD8+ Cytotoxic T",1
"Cell_168","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_169","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_170","CD14+ Monocyte","Dendritic",1
"Cell_171","CD19+ B","CD19+ B",1
"Cell_172","CD19+ B","CD19+ B",1
"Cell_173","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_174","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_175","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_176","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_177","CD19+ B","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_178","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_179","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_180","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_181","CD56+ NK","CD56+ NK",1
"Cell_182","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_183","CD56+ NK","CD56+ NK",1
"Cell_184","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_185","CD14+ Monocyte","Dendritic",1
"Cell_186","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_187","CD19+ B","CD19+ B",1
"Cell_188","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_189","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_190","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_191","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_192","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_193","CD19+ B","CD19+ B",1
"Cell_194","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_195","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_196","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_197","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_198","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_199","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"Cell_200","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_201","CD56+ NK","CD56+ NK",1
"Cell_202","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_203","Dendritic","Dendritic",1
"Cell_204","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_205","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_206","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_207","CD56+ NK","CD56+ NK",1
"Cell_208","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_209","CD56+ NK","CD56+ NK",1
"Cell_210","CD8+ Cytotoxic T","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_211","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_212","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_213","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_214","CD56+ NK","CD56+ NK",1
"Cell_215","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_216","CD56+ NK","CD56+ NK",1
"Cell_217","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_218","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_219","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_220","CD8+ Cytotoxic T","CD4+/CD45RA+/CD25- Naive T",1
"Cell_221","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_222","CD56+ NK","CD56+ NK",1
"Cell_223","CD56+ NK","CD56+ NK",1
"Cell_224","CD19+ B","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_225","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_226","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_227","CD8+ Cytotoxic T","CD4+/CD25 T Reg",1
"Cell_228","CD19+ B","CD19+ B",1
"Cell_229","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_230","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_231","CD56+ NK","CD56+ NK",1
"Cell_232","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_233","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_234","CD56+ NK","CD8+ Cytotoxic T",1
"Cell_235","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_236","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_237","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_238","CD56+ NK","CD56+ NK",1
"Cell_239","CD56+ NK","CD56+ NK",1
"Cell_240","CD19+ B","CD19+ B",1
"Cell_241","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_242","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_243","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_244","CD19+ B","CD19+ B",1
"Cell_245","CD19+ B","CD19+ B",1
"Cell_246","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_247","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_248","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_249","CD4+/CD25 T Reg","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_250","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_251","CD14+ Monocyte","Dendritic",1
"Cell_252","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_253","CD56+ NK","CD56+ NK",1
"Cell_254","CD56+ NK","CD8+ Cytotoxic T",1
"Cell_255","CD56+ NK","CD56+ NK",1
"Cell_256","CD19+ B","CD19+ B",1
"Cell_257","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"Cell_258","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_259","Dendritic","Dendritic",1
"Cell_260","CD8+ Cytotoxic T","CD4+/CD25 T Reg",1
"Cell_261","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_262","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_263","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_264","Dendritic","CD19+ B",1
"Cell_265","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_266","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_267","CD8+ Cytotoxic T","CD56+ NK",1
"Cell_268","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_269","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_270","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_271","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"Cell_272","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_273","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_274","CD19+ B","CD19+ B",1
"Cell_275","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_276","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_277","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_278","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_279","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_280","CD4+/CD45RO+ Memory","CD4+/CD45RO+ Memory",1
"Cell_281","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_282","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_283","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_284","CD19+ B","CD19+ B",1
"Cell_285","CD19+ B","CD19+ B",1
"Cell_286","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_287","CD8+ Cytotoxic T","CD4+/CD45RO+ Memory",1
"Cell_288","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_289","CD8+ Cytotoxic T","CD4+/CD45RO+ Memory",1
"Cell_290","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_291","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_292","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_293","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_294","CD4+/CD25 T Reg","CD4+/CD45RA+/CD25- Naive T",1
"Cell_295","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_296","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_297","CD56+ NK","CD56+ NK",1
"Cell_298","CD56+ NK","CD56+ NK",1
"Cell_299","CD19+ B","CD19+ B",1
"Cell_300","CD56+ NK","CD8+ Cytotoxic T",1
"Cell_301","CD4+/CD25 T Reg","CD4+/CD45RA+/CD25- Naive T",1
"Cell_302","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RO+ Memory",1
"Cell_303","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_304","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_305","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_306","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_307","CD19+ B","CD19+ B",1
"Cell_308","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_309","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_310","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_311","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_312","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_313","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_314","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_315","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_316","CD4+/CD45RO+ Memory","CD4+/CD25 T Reg",1
"Cell_317","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_318","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_319","CD56+ NK","CD8+ Cytotoxic T",1
"Cell_320","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_321","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_322","CD4+/CD25 T Reg","CD8+ Cytotoxic T",1
"Cell_323","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_324","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_325","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_326","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_327","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_328","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_329","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_330","CD8+ Cytotoxic T","CD4+/CD25 T Reg",1
"Cell_331","CD8+ Cytotoxic T","CD4+/CD25 T Reg",1
"Cell_332","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_333","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_334","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_335","CD19+ B","CD19+ B",1
"Cell_336","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_337","CD34+","CD34+",1
"Cell_338","CD56+ NK","CD56+ NK",1
"Cell_339","CD56+ NK","CD56+ NK",1
"Cell_340","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_341","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_342","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_343","CD14+ Monocyte","Dendritic",1
"Cell_344","CD4+/CD25 T Reg","CD8+ Cytotoxic T",1
"Cell_345","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_346","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_347","CD19+ B","CD19+ B",1
"Cell_348","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_349","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
