"","pred","true_label","fold"
"Cell_153","acinar","acinar",1
"Cell_154","beta","beta",1
"Cell_155","beta","beta",1
"Cell_156","delta","delta",1
"Cell_157","beta","beta",1
"Cell_158","beta","beta",1
"Cell_159","beta","beta",1
"Cell_160","beta","beta",1
"Cell_161","beta","beta",1
"Cell_162","beta","beta",1
"Cell_163","delta","delta",1
"Cell_164","beta","beta",1
"Cell_165","beta","beta",1
"Cell_166","beta","beta",1
"Cell_167","beta","beta",1
"Cell_168","ductal","ductal",1
"Cell_169","beta","beta",1
"Cell_170","ductal","ductal",1
"Cell_171","alpha","alpha",1
"Cell_172","beta","beta",1
"Cell_173","delta","delta",1
"Cell_174","beta","beta",1
"Cell_175","beta","beta",1
"Cell_176","beta","beta",1
"Cell_177","beta","beta",1
"Cell_178","beta","beta",1
"Cell_179","alpha","alpha",1
"Cell_180","beta","beta",1
"Cell_181","delta","delta",1
"Cell_182","beta","beta",1
"Cell_183","alpha","alpha",1
"Cell_184","alpha","alpha",1
"Cell_185","beta","beta",1
"Cell_186","beta","beta",1
"Cell_187","beta","beta",1
"Cell_188","macrophage","macrophage",1
"Cell_189","alpha","alpha",1
"Cell_190","beta","beta",1
"Cell_191","ductal","ductal",1
"Cell_192","gamma","gamma",1
"Cell_193","beta","beta",1
"Cell_194","alpha","alpha",1
"Cell_195","beta","beta",1
"Cell_196","beta","beta",1
"Cell_197","beta","beta",1
"Cell_198","beta","beta",1
"Cell_199","delta","delta",1
"Cell_200","acinar","acinar",1
"Cell_201","alpha","alpha",1
"Cell_202","beta","beta",1
"Cell_203","beta","beta",1
"Cell_204","beta","beta",1
"Cell_205","alpha","alpha",1
"Cell_206","acinar","acinar",1
"Cell_207","beta","beta",1
"Cell_208","alpha","alpha",1
"Cell_209","beta","beta",1
"Cell_210","ductal","ductal",1
"Cell_211","delta","delta",1
"Cell_212","acinar","acinar",1
"Cell_213","quiescent_stellate","quiescent_stellate",1
"Cell_214","beta","beta",1
"Cell_215","beta","beta",1
"Cell_216","beta","beta",1
"Cell_217","beta","beta",1
"Cell_218","gamma","gamma",1
"Cell_219","beta","beta",1
"Cell_220","delta","delta",1
"Cell_221","endothelial","endothelial",1
"Cell_222","endothelial","endothelial",1
"Cell_223","beta","beta",1
"Cell_224","beta","beta",1
"Cell_225","beta","beta",1
"Cell_226","alpha","alpha",1
"Cell_227","delta","delta",1
"Cell_228","alpha","alpha",1
"Cell_229","alpha","alpha",1
"Cell_230","gamma","gamma",1
"Cell_231","endothelial","endothelial",1
"Cell_232","beta","beta",1
"Cell_233","endothelial","endothelial",1
"Cell_234","ductal","ductal",1
"Cell_235","beta","beta",1
"Cell_236","activated_stellate","activated_stellate",1
"Cell_237","beta","beta",1
"Cell_238","beta","beta",1
"Cell_239","alpha","alpha",1
"Cell_240","activated_stellate","activated_stellate",1
"Cell_241","beta","beta",1
"Cell_242","endothelial","endothelial",1
"Cell_243","endothelial","endothelial",1
"Cell_244","quiescent_stellate","quiescent_stellate",1
"Cell_245","acinar","acinar",1
"Cell_246","activated_stellate","activated_stellate",1
"Cell_247","beta","beta",1
"Cell_248","beta","beta",1
"Cell_249","alpha","alpha",1
"Cell_250","beta","beta",1
"Cell_251","beta","beta",1
"Cell_252","endothelial","endothelial",1
"Cell_253","alpha","alpha",1
"Cell_254","quiescent_stellate","quiescent_stellate",1
"Cell_255","delta","delta",1
"Cell_256","delta","delta",1
"Cell_257","delta","delta",1
"Cell_258","activated_stellate","activated_stellate",1
"Cell_259","acinar","acinar",1
"Cell_260","delta","delta",1
"Cell_261","beta","beta",1
"Cell_262","delta","delta",1
"Cell_263","delta","delta",1
"Cell_264","beta","beta",1
"Cell_265","alpha","alpha",1
"Cell_266","beta","beta",1
"Cell_267","beta","beta",1
"Cell_268","delta","delta",1
"Cell_269","delta","delta",1
"Cell_270","beta","beta",1
"Cell_271","beta","beta",1
"Cell_272","delta","delta",1
"Cell_273","beta","beta",1
"Cell_274","ductal","ductal",1
"Cell_275","beta","beta",1
"Cell_276","beta","beta",1
"Cell_277","beta","beta",1
"Cell_278","delta","delta",1
"Cell_279","beta","beta",1
"Cell_280","activated_stellate","activated_stellate",1
"Cell_281","beta","beta",1
"Cell_282","acinar","acinar",1
"Cell_283","beta","beta",1
"Cell_284","beta","beta",1
"Cell_285","alpha","alpha",1
"Cell_286","beta","beta",1
"Cell_287","gamma","gamma",1
"Cell_288","quiescent_stellate","quiescent_stellate",1
"Cell_289","beta","beta",1
"Cell_290","ductal","ductal",1
"Cell_291","alpha","alpha",1
"Cell_292","quiescent_stellate","quiescent_stellate",1
"Cell_293","ductal","ductal",1
"Cell_294","beta","beta",1
"Cell_295","beta","beta",1
"Cell_296","beta","beta",1
"Cell_297","beta","beta",1
"Cell_298","beta","beta",1
"Cell_299","alpha","alpha",1
"Cell_300","delta","delta",1
"Cell_301","activated_stellate","activated_stellate",1
"Cell_302","alpha","alpha",1
"Cell_303","delta","delta",1
"Cell_304","activated_stellate","activated_stellate",1
"Cell_305","beta","beta",1
"Cell_306","beta","beta",1
"Cell_307","alpha","alpha",1
"Cell_308","beta","beta",1
"Cell_309","beta","beta",1
"Cell_310","ductal","ductal",1
"Cell_311","alpha","alpha",1
"Cell_312","beta","beta",1
"Cell_313","delta","delta",1
"Cell_314","beta","beta",1
"Cell_315","alpha","alpha",1
"Cell_316","beta","beta",1
"Cell_317","beta","beta",1
"Cell_318","gamma","gamma",1
"Cell_319","alpha","alpha",1
"Cell_320","alpha","alpha",1
"Cell_321","beta","beta",1
"Cell_322","beta","beta",1
"Cell_323","alpha","alpha",1
"Cell_324","beta","beta",1
"Cell_325","delta","delta",1
"Cell_326","alpha","alpha",1
"Cell_327","ductal","ductal",1
"Cell_328","beta","beta",1
"Cell_329","beta","beta",1
"Cell_330","acinar","acinar",1
"Cell_331","alpha","alpha",1
"Cell_332","beta","beta",1
"Cell_333","acinar","acinar",1
"Cell_334","alpha","alpha",1
"Cell_335","alpha","alpha",1
"Cell_336","beta","beta",1
"Cell_337","alpha","alpha",1
"Cell_338","endothelial","endothelial",1
"Cell_339","beta","beta",1
"Cell_340","beta","beta",1
"Cell_341","alpha","alpha",1
"Cell_342","delta","delta",1
"Cell_343","beta","beta",1
"Cell_344","endothelial","endothelial",1
"Cell_345","mast","mast",1
"Cell_346","endothelial","endothelial",1
"Cell_347","endothelial","endothelial",1
"Cell_348","quiescent_stellate","quiescent_stellate",1
"Cell_349","endothelial","endothelial",1
"Cell_350","quiescent_stellate","quiescent_stellate",1
"Cell_351","beta","beta",1
"Cell_352","beta","beta",1
"Cell_353","beta","beta",1
"Cell_354","beta","beta",1
"Cell_355","quiescent_stellate","quiescent_stellate",1
"Cell_356","beta","beta",1
"Cell_357","quiescent_stellate","quiescent_stellate",1
"Cell_358","endothelial","endothelial",1
"Cell_359","gamma","epsilon",1
"Cell_360","beta","beta",1
"Cell_361","ductal","ductal",1
"Cell_362","beta","beta",1
"Cell_363","beta","beta",1
"Cell_364","endothelial","endothelial",1
"Cell_365","quiescent_stellate","quiescent_stellate",1
"Cell_366","beta","beta",1
"Cell_367","quiescent_stellate","quiescent_stellate",1
"Cell_368","beta","beta",1
"Cell_369","beta","beta",1
"Cell_370","beta","beta",1
"Cell_371","alpha","alpha",1
"Cell_372","beta","beta",1
"Cell_373","beta","beta",1
"Cell_374","endothelial","endothelial",1
"Cell_375","beta","beta",1
"Cell_376","endothelial","endothelial",1
"Cell_377","alpha","alpha",1
"Cell_378","alpha","alpha",1
"Cell_379","quiescent_stellate","quiescent_stellate",1
"Cell_380","delta","epsilon",1
"Cell_381","beta","beta",1
"Cell_382","beta","beta",1
"Cell_383","beta","beta",1
"Cell_384","beta","beta",1
"Cell_385","beta","beta",1
"Cell_386","quiescent_stellate","quiescent_stellate",1
"Cell_387","beta","beta",1
"Cell_388","beta","beta",1
"Cell_389","beta","beta",1
"Cell_390","beta","beta",1
"Cell_391","quiescent_stellate","quiescent_stellate",1
"Cell_392","delta","delta",1
"Cell_393","delta","delta",1
"Cell_394","delta","delta",1
"Cell_395","delta","delta",1
"Cell_396","ductal","ductal",1
"Cell_397","delta","delta",1
"Cell_398","alpha","alpha",1
"Cell_399","alpha","alpha",1
"Cell_400","delta","delta",1
"Cell_401","ductal","ductal",1
"Cell_402","ductal","ductal",1
"Cell_403","ductal","ductal",1
"Cell_404","delta","delta",1
"Cell_405","macrophage","macrophage",1
"Cell_406","delta","delta",1
"Cell_407","alpha","alpha",1
"Cell_408","activated_stellate","activated_stellate",1
"Cell_409","delta","delta",1
"Cell_410","alpha","alpha",1
"Cell_411","activated_stellate","activated_stellate",1
"Cell_412","beta","beta",1
"Cell_413","beta","beta",1
"Cell_414","ductal","ductal",1
"Cell_415","alpha","alpha",1
"Cell_416","alpha","alpha",1
"Cell_417","beta","beta",1
"Cell_418","ductal","ductal",1
"Cell_419","alpha","alpha",1
"Cell_420","alpha","alpha",1
"Cell_421","beta","beta",1
"Cell_422","delta","delta",1
"Cell_423","beta","beta",1
"Cell_424","ductal","ductal",1
"Cell_425","alpha","alpha",1
"Cell_426","beta","beta",1
"Cell_427","beta","beta",1
"Cell_428","delta","delta",1
"Cell_429","beta","beta",1
"Cell_430","alpha","alpha",1
"Cell_431","alpha","alpha",1
"Cell_432","alpha","alpha",1
"Cell_433","alpha","alpha",1
"Cell_434","ductal","ductal",1
"Cell_435","alpha","alpha",1
"Cell_436","alpha","alpha",1
"Cell_437","ductal","ductal",1
"Cell_438","alpha","alpha",1
"Cell_439","alpha","alpha",1
"Cell_440","alpha","alpha",1
"Cell_441","ductal","ductal",1
"Cell_442","beta","beta",1
"Cell_443","gamma","gamma",1
"Cell_444","ductal","ductal",1
"Cell_445","alpha","alpha",1
"Cell_446","delta","delta",1
"Cell_447","beta","beta",1
"Cell_448","beta","beta",1
"Cell_449","endothelial","endothelial",1
"Cell_450","beta","beta",1
"Cell_451","activated_stellate","activated_stellate",1
"Cell_452","beta","beta",1
"Cell_453","alpha","alpha",1
"Cell_454","beta","beta",1
"Cell_455","gamma","gamma",1
"Cell_456","gamma","gamma",1
"Cell_457","beta","beta",1
"Cell_458","beta","beta",1
"Cell_459","delta","delta",1
"Cell_460","alpha","alpha",1
"Cell_461","beta","beta",1
"Cell_462","delta","delta",1
"Cell_463","delta","delta",1
"Cell_464","ductal","ductal",1
"Cell_465","ductal","ductal",1
"Cell_466","ductal","ductal",1
"Cell_467","alpha","alpha",1
"Cell_468","alpha","alpha",1
"Cell_469","ductal","ductal",1
"Cell_470","alpha","alpha",1
"Cell_471","beta","beta",1
"Cell_472","ductal","ductal",1
"Cell_473","alpha","alpha",1
"Cell_474","endothelial","endothelial",1
"Cell_475","alpha","alpha",1
"Cell_476","ductal","ductal",1
"Cell_477","activated_stellate","activated_stellate",1
"Cell_478","beta","beta",1
"Cell_479","alpha","alpha",1
"Cell_480","ductal","ductal",1
"Cell_481","gamma","gamma",1
"Cell_482","alpha","alpha",1
"Cell_483","endothelial","endothelial",1
"Cell_484","alpha","alpha",1
"Cell_485","ductal","ductal",1
"Cell_486","gamma","gamma",1
"Cell_487","beta","beta",1
"Cell_488","ductal","ductal",1
"Cell_489","alpha","alpha",1
"Cell_490","alpha","alpha",1
"Cell_491","alpha","alpha",1
"Cell_492","ductal","ductal",1
"Cell_493","alpha","alpha",1
"Cell_494","alpha","alpha",1
"Cell_495","ductal","ductal",1
"Cell_496","delta","delta",1
"Cell_497","gamma","gamma",1
"Cell_498","activated_stellate","activated_stellate",1
"Cell_499","gamma","gamma",1
"Cell_500","alpha","alpha",1
"Cell_501","alpha","alpha",1
"Cell_502","alpha","alpha",1
"Cell_503","alpha","alpha",1
"Cell_504","alpha","alpha",1
"Cell_505","alpha","alpha",1
"Cell_506","beta","beta",1
"Cell_507","alpha","alpha",1
"Cell_508","beta","beta",1
"Cell_509","quiescent_stellate","quiescent_stellate",1
"Cell_510","ductal","ductal",1
"Cell_511","ductal","ductal",1
"Cell_512","beta","beta",1
"Cell_513","mast","alpha",1
"Cell_514","alpha","alpha",1
"Cell_515","delta","delta",1
"Cell_516","delta","delta",1
"Cell_517","activated_stellate","activated_stellate",1
"Cell_518","beta","beta",1
"Cell_519","delta","delta",1
"Cell_520","ductal","ductal",1
"Cell_521","alpha","alpha",1
"Cell_522","delta","delta",1
"Cell_523","alpha","alpha",1
"Cell_524","alpha","alpha",1
"Cell_525","activated_stellate","activated_stellate",1
"Cell_526","alpha","alpha",1
"Cell_527","alpha","alpha",1
"Cell_528","beta","beta",1
"Cell_529","ductal","ductal",1
"Cell_530","ductal","ductal",1
"Cell_531","alpha","alpha",1
"Cell_532","beta","beta",1
"Cell_533","beta","beta",1
"Cell_534","alpha","alpha",1
"Cell_535","ductal","ductal",1
"Cell_536","ductal","ductal",1
"Cell_537","beta","beta",1
"Cell_538","beta","beta",1
"Cell_539","beta","beta",1
"Cell_540","alpha","alpha",1
"Cell_541","alpha","alpha",1
"Cell_542","beta","beta",1
"Cell_543","alpha","alpha",1
"Cell_544","alpha","alpha",1
"Cell_545","activated_stellate","activated_stellate",1
"Cell_546","alpha","alpha",1
"Cell_547","alpha","alpha",1
"Cell_548","beta","beta",1
"Cell_549","activated_stellate","activated_stellate",1
"Cell_550","macrophage","macrophage",1
"Cell_551","beta","beta",1
"Cell_552","alpha","alpha",1
"Cell_553","ductal","ductal",1
"Cell_554","delta","delta",1
"Cell_555","ductal","ductal",1
"Cell_556","delta","delta",1
"Cell_557","beta","beta",1
"Cell_558","macrophage","macrophage",1
"Cell_559","activated_stellate","activated_stellate",1
"Cell_560","beta","beta",1
"Cell_561","ductal","ductal",1
"Cell_562","beta","beta",1
"Cell_563","delta","delta",1
"Cell_564","ductal","ductal",1
"Cell_565","alpha","alpha",1
"Cell_566","delta","delta",1
"Cell_567","beta","beta",1
"Cell_568","gamma","gamma",1
"Cell_569","ductal","ductal",1
"Cell_570","beta","beta",1
"Cell_571","alpha","alpha",1
"Cell_572","activated_stellate","activated_stellate",1
"Cell_573","alpha","alpha",1
"Cell_574","ductal","ductal",1
"Cell_575","alpha","alpha",1
"Cell_576","ductal","ductal",1
"Cell_577","beta","beta",1
"Cell_578","delta","delta",1
"Cell_579","alpha","alpha",1
"Cell_580","beta","beta",1
"Cell_581","alpha","alpha",1
"Cell_582","ductal","ductal",1
"Cell_583","beta","beta",1
"Cell_584","ductal","ductal",1
"Cell_585","beta","beta",1
"Cell_586","alpha","alpha",1
"Cell_587","alpha","alpha",1
"Cell_588","activated_stellate","activated_stellate",1
"Cell_589","alpha","alpha",1
"Cell_590","delta","delta",1
"Cell_591","alpha","alpha",1
"Cell_592","alpha","alpha",1
"Cell_593","alpha","alpha",1
"Cell_594","alpha","alpha",1
"Cell_595","alpha","alpha",1
"Cell_596","alpha","alpha",1
"Cell_597","alpha","alpha",1
"Cell_598","gamma","gamma",1
"Cell_599","alpha","alpha",1
"Cell_600","alpha","alpha",1
"Cell_601","macrophage","macrophage",1
"Cell_602","alpha","alpha",1
"Cell_603","alpha","alpha",1
"Cell_604","ductal","ductal",1
"Cell_605","ductal","ductal",1
"Cell_606","beta","beta",1
"Cell_607","endothelial","endothelial",1
"Cell_608","alpha","alpha",1
"Cell_609","alpha","alpha",1
"Cell_610","ductal","ductal",1
"Cell_611","beta","beta",1
"Cell_612","activated_stellate","activated_stellate",1
"Cell_613","alpha","alpha",1
"Cell_614","alpha","alpha",1
"Cell_615","alpha","alpha",1
"Cell_616","beta","beta",1
"Cell_617","beta","beta",1
"Cell_618","alpha","alpha",1
"Cell_619","alpha","alpha",1
"Cell_620","gamma","gamma",1
"Cell_621","delta","delta",1
"Cell_622","beta","beta",1
"Cell_623","alpha","alpha",1
"Cell_624","gamma","gamma",1
"Cell_625","alpha","alpha",1
"Cell_626","beta","beta",1
"Cell_627","beta","beta",1
"Cell_628","alpha","alpha",1
"Cell_629","alpha","alpha",1
"Cell_630","alpha","alpha",1
"Cell_631","endothelial","endothelial",1
"Cell_632","alpha","alpha",1
"Cell_633","alpha","alpha",1
"Cell_634","alpha","alpha",1
"Cell_635","alpha","alpha",1
"Cell_636","alpha","alpha",1
"Cell_637","alpha","alpha",1
"Cell_638","alpha","alpha",1
"Cell_639","alpha","alpha",1
"Cell_640","beta","beta",1
"Cell_641","mast","mast",1
"Cell_642","ductal","ductal",1
"Cell_643","alpha","alpha",1
"Cell_644","beta","beta",1
"Cell_645","gamma","gamma",1
"Cell_646","gamma","gamma",1
"Cell_647","alpha","alpha",1
"Cell_648","alpha","alpha",1
"Cell_649","alpha","alpha",1
"Cell_650","alpha","alpha",1
"Cell_651","gamma","gamma",1
"Cell_652","alpha","alpha",1
"Cell_653","beta","beta",1
"Cell_654","alpha","alpha",1
"Cell_655","ductal","ductal",1
"Cell_656","beta","beta",1
"Cell_657","schwann","schwann",1
"Cell_658","gamma","gamma",1
"Cell_659","ductal","ductal",1
"Cell_660","t_cell","t_cell",1
"Cell_661","beta","beta",1
"Cell_662","beta","beta",1
"Cell_663","alpha","alpha",1
"Cell_664","alpha","alpha",1
"Cell_665","beta","beta",1
"Cell_666","alpha","alpha",1
"Cell_667","alpha","alpha",1
"Cell_668","beta","beta",1
"Cell_669","alpha","alpha",1
"Cell_670","ductal","ductal",1
"Cell_671","delta","delta",1
"Cell_672","delta","delta",1
"Cell_673","alpha","alpha",1
"Cell_674","alpha","alpha",1
"Cell_675","delta","delta",1
"Cell_676","activated_stellate","activated_stellate",1
"Cell_677","alpha","alpha",1
"Cell_678","alpha","alpha",1
"Cell_679","macrophage","macrophage",1
"Cell_680","beta","beta",1
"Cell_681","delta","delta",1
"Cell_682","ductal","ductal",1
"Cell_683","ductal","ductal",1
"Cell_684","alpha","alpha",1
"Cell_685","beta","beta",1
"Cell_686","activated_stellate","quiescent_stellate",1
"Cell_687","quiescent_stellate","quiescent_stellate",1
"Cell_688","beta","beta",1
"Cell_689","ductal","ductal",1
"Cell_690","ductal","ductal",1
"Cell_691","alpha","alpha",1
"Cell_692","ductal","ductal",1
"Cell_693","alpha","alpha",1
"Cell_694","alpha","alpha",1
"Cell_695","alpha","alpha",1
"Cell_696","alpha","alpha",1
"Cell_697","activated_stellate","activated_stellate",1
"Cell_698","ductal","ductal",1
"Cell_699","alpha","alpha",1
"Cell_700","ductal","ductal",1
"Cell_701","beta","beta",1
"Cell_702","alpha","alpha",1
"Cell_703","alpha","alpha",1
"Cell_704","quiescent_stellate","quiescent_stellate",1
"Cell_705","alpha","alpha",1
"Cell_706","beta","beta",1
"Cell_707","ductal","ductal",1
"Cell_708","activated_stellate","activated_stellate",1
"Cell_709","beta","beta",1
"Cell_710","delta","delta",1
"Cell_711","alpha","alpha",1
"Cell_712","gamma","gamma",1
"Cell_713","alpha","alpha",1
"Cell_714","ductal","ductal",1
"Cell_715","alpha","alpha",1
"Cell_716","alpha","alpha",1
"Cell_717","beta","beta",1
"Cell_718","alpha","alpha",1
"Cell_719","alpha","alpha",1
"Cell_720","beta","beta",1
"Cell_721","alpha","alpha",1
"Cell_722","ductal","ductal",1
"Cell_723","alpha","alpha",1
"Cell_724","beta","beta",1
"Cell_725","alpha","alpha",1
"Cell_726","alpha","alpha",1
"Cell_727","delta","delta",1
"Cell_728","alpha","alpha",1
"Cell_729","alpha","alpha",1
"Cell_730","gamma","gamma",1
"Cell_731","alpha","alpha",1
"Cell_732","delta","delta",1
"Cell_733","endothelial","endothelial",1
"Cell_734","delta","delta",1
"Cell_735","gamma","gamma",1
"Cell_736","beta","beta",1
"Cell_737","alpha","alpha",1
"Cell_738","beta","beta",1
"Cell_739","alpha","alpha",1
"Cell_740","alpha","alpha",1
"Cell_741","gamma","gamma",1
"Cell_742","quiescent_stellate","quiescent_stellate",1
"Cell_743","alpha","alpha",1
"Cell_744","beta","beta",1
"Cell_745","alpha","alpha",1
"Cell_746","gamma","gamma",1
"Cell_747","endothelial","endothelial",1
"Cell_748","gamma","gamma",1
"Cell_749","gamma","gamma",1
"Cell_750","beta","beta",1
"Cell_751","alpha","alpha",1
"Cell_752","gamma","gamma",1
"Cell_753","alpha","alpha",1
"Cell_754","alpha","alpha",1
"Cell_755","beta","beta",1
"Cell_756","alpha","alpha",1
"Cell_757","ductal","ductal",1
"Cell_758","alpha","alpha",1
"Cell_759","activated_stellate","activated_stellate",1
"Cell_760","ductal","ductal",1
"Cell_761","endothelial","endothelial",1
"Cell_762","beta","beta",1
"Cell_763","gamma","gamma",1
"Cell_764","alpha","alpha",1
"Cell_765","alpha","alpha",1
"Cell_766","activated_stellate","activated_stellate",1
"Cell_767","mast","mast",1
"Cell_768","beta","activated_stellate",1
"Cell_769","alpha","alpha",1
"Cell_770","ductal","ductal",1
"Cell_771","beta","beta",1
"Cell_772","acinar","acinar",1
"Cell_773","acinar","acinar",1
"Cell_774","acinar","acinar",1
"Cell_775","acinar","acinar",1
"Cell_776","acinar","acinar",1
"Cell_777","acinar","acinar",1
"Cell_778","acinar","acinar",1
"Cell_779","ductal","ductal",1
"Cell_780","acinar","acinar",1
"Cell_781","alpha","alpha",1
"Cell_782","acinar","acinar",1
"Cell_783","acinar","acinar",1
"Cell_784","beta","beta",1
"Cell_785","acinar","acinar",1
"Cell_786","delta","delta",1
"Cell_787","acinar","acinar",1
"Cell_788","acinar","acinar",1
"Cell_789","alpha","alpha",1
"Cell_790","acinar","acinar",1
"Cell_791","acinar","acinar",1
"Cell_792","delta","delta",1
"Cell_793","beta","beta",1
"Cell_794","alpha","alpha",1
"Cell_795","acinar","acinar",1
"Cell_796","acinar","acinar",1
"Cell_797","beta","beta",1
"Cell_798","alpha","alpha",1
"Cell_799","beta","beta",1
"Cell_800","acinar","acinar",1
"Cell_801","alpha","alpha",1
"Cell_802","delta","delta",1
"Cell_803","acinar","acinar",1
"Cell_804","acinar","acinar",1
"Cell_805","acinar","acinar",1
"Cell_806","beta","beta",1
"Cell_807","beta","beta",1
"Cell_808","acinar","acinar",1
"Cell_809","ductal","ductal",1
"Cell_810","activated_stellate","activated_stellate",1
"Cell_811","alpha","alpha",1
"Cell_812","acinar","acinar",1
"Cell_813","alpha","alpha",1
"Cell_814","acinar","acinar",1
"Cell_815","alpha","alpha",1
"Cell_816","alpha","alpha",1
"Cell_817","alpha","alpha",1
"Cell_818","beta","beta",1
"Cell_819","ductal","ductal",1
"Cell_820","delta","delta",1
"Cell_821","alpha","alpha",1
"Cell_822","acinar","acinar",1
"Cell_823","beta","beta",1
"Cell_824","ductal","ductal",1
"Cell_825","quiescent_stellate","quiescent_stellate",1
"Cell_826","alpha","alpha",1
"Cell_827","ductal","ductal",1
"Cell_828","ductal","ductal",1
"Cell_829","beta","beta",1
"Cell_830","alpha","alpha",1
"Cell_831","alpha","alpha",1
"Cell_832","alpha","alpha",1
"Cell_833","beta","beta",1
"Cell_834","alpha","alpha",1
